

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 86.78776016497956; player life: 32.80000000000027; enemy life: 0; time: 660

RUN: run status: enemy: 5; fitness: 56.1498738338545; player life: 0; enemy life: 30.0; time: 944

RUN: run status: enemy: 5; fitness: 65.1648154138527; player life: 0; enemy life: 20.0; time: 930

RUN: run status: enemy: 5; fitness: 29.25124045250832; player life: 0; enemy life: 60.0; time: 853

RUN: run status: enemy: 5; fitness: 47.32923367915413; player life: 0; enemy life: 40.0; time: 789

RUN: run status: enemy: 5; fitness: 84.99737020514458; player life: 17.20000000000023; enemy life: 0; time: 831

RUN: run status: enemy: 5; fitness: 29.206533867419992; player life: 0; enemy life: 60.0; time: 892

RUN: run status: enemy: 5; fitness: 47.24656208140222; player life: 0; enemy life: 40.0; time: 857

RUN: run status: enemy: 5; fitness: 74.14459120139007; player life: 0; enemy life: 10.0; time: 949

RUN: run status: enemy: 5; fitness: 29.244231078015744; player life: 0; enemy life: 60.0; time: 859

RUN: run status: enemy: 5; fitness: 38.209902764486095; player life: 0; enemy life: 50.0; time: 889

RUN: run status: enemy: 5; fitness: 84.15256827514916; player life: 8.800000000000232; enemy life: 0; time: 835

RUN: run status: enemy: 5; fitness: 56.132244721017884; player life: 0.40000000000023406; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.22349300762782; player life: 0; enemy life: 10.0; time: 877

RUN: run status: enemy: 5; fitness: 65.15518452079174; player life: 0; enemy life: 20.0; time: 939

RUN: run status: enemy: 5; fitness: 87.31385052684493; player life: 36.400000000000276; enemy life: 0; time: 559

RUN: run status: enemy: 5; fitness: 74.17237076549715; player life: 0; enemy life: 10.0; time: 923

RUN: run status: enemy: 5; fitness: 85.77686730400923; player life: 24.400000000000247; enemy life: 0; time: 783

RUN: run status: enemy: 5; fitness: 38.34713697064665; player life: 0; enemy life: 50.0; time: 775

RUN: run status: enemy: 5; fitness: 74.26303304199814; player life: 0; enemy life: 10.0; time: 843

RUN: run status: enemy: 5; fitness: 74.13224472101788; player life: 0.40000000000023406; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.21554293736236; player life: 0; enemy life: 10.0; time: 884

RUN: run status: enemy: 5; fitness: 65.25241347317069; player life: 0; enemy life: 20.0; time: 852

RUN: run status: enemy: 5; fitness: 83.66184750540407; player life: 4.0000000000002345; enemy life: 0; time: 844

RUN: run status: enemy: 5; fitness: 47.28219530497631; player life: 0; enemy life: 40.0; time: 827

RUN: run status: enemy: 5; fitness: 85.3249241594004; player life: 19.000000000000234; enemy life: 0; time: 717

RUN: run status: enemy: 5; fitness: 74.14670090681392; player life: 0; enemy life: 10.0; time: 947

RUN: run status: enemy: 5; fitness: 83.45671387764435; player life: 2.8000000000002343; enemy life: 0; time: 919

RUN: run status: enemy: 5; fitness: 74.35490903049435; player life: 0; enemy life: 10.0; time: 769

RUN: run status: enemy: 5; fitness: 11.161594799152656; player life: 0; enemy life: 80.0; time: 933

RUN: run status: enemy: 5; fitness: 83.59515222202916; player life: 4.600000000000234; enemy life: 0; time: 958

RUN: run status: enemy: 5; fitness: 65.11244742833539; player life: 0; enemy life: 20.0; time: 980

RUN: run status: enemy: 5; fitness: 56.224633909063606; player life: 0; enemy life: 30.0; time: 876

RUN: run status: enemy: 5; fitness: 38.253587871426625; player life: 0; enemy life: 50.0; time: 851

RUN: run status: enemy: 5; fitness: 84.45199937470393; player life: 10.60000000000023; enemy life: 0; time: 741

RUN: run status: enemy: 5; fitness: 74.20877853727382; player life: 0; enemy life: 10.0; time: 890

RUN: run status: enemy: 5; fitness: 65.24772962385826; player life: 0; enemy life: 20.0; time: 856

RUN: run status: enemy: 5; fitness: 38.28704379932293; player life: 0; enemy life: 50.0; time: 823

RUN: run status: enemy: 5; fitness: 85.40171785052358; player life: 19.000000000000234; enemy life: 0; time: 664

RUN: run status: enemy: 5; fitness: 56.23842723119594; player life: 0; enemy life: 30.0; time: 864

RUN: run status: enemy: 5; fitness: 87.91385052684493; player life: 42.40000000000029; enemy life: 0; time: 559

RUN: run status: enemy: 5; fitness: 56.14881507250626; player life: 0; enemy life: 30.0; time: 945

RUN: run status: enemy: 5; fitness: 65.18875562139871; player life: 0; enemy life: 20.0; time: 908

RUN: run status: enemy: 5; fitness: 74.37224472101789; player life: 2.8000000000002343; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.30049965983832; player life: 0; enemy life: 10.0; time: 812

RUN: run status: enemy: 5; fitness: 83.47711936420812; player life: 2.200000000000234; enemy life: 0; time: 848

RUN: run status: enemy: 5; fitness: 85.13107352246651; player life: 17.20000000000023; enemy life: 0; time: 727

RUN: run status: enemy: 5; fitness: 38.25006880621143; player life: 0; enemy life: 50.0; time: 854

RUN: run status: enemy: 5; fitness: 84.43720995408441; player life: 9.400000000000231; enemy life: 0; time: 667

RUN: run status: enemy: 5; fitness: 47.35881783025941; player life: 0; enemy life: 40.0; time: 766

RUN: run status: enemy: 5; fitness: 47.155184520791735; player life: 0; enemy life: 40.0; time: 939

RUN: run status: enemy: 5; fitness: 47.10330566837729; player life: 0; enemy life: 40.0; time: 989

RUN: run status: enemy: 5; fitness: 84.75017592951055; player life: 14.800000000000228; enemy life: 0; time: 837

RUN: run status: enemy: 5; fitness: 38.190960693957024; player life: 0; enemy life: 50.0; time: 906

RUN: run status: enemy: 5; fitness: 84.18049965983835; player life: 8.800000000000232; enemy life: 0; time: 812

RUN: run status: enemy: 5; fitness: 56.151994725423634; player life: 0; enemy life: 30.0; time: 942

RUN: run status: enemy: 5; fitness: 38.13515222202914; player life: 0; enemy life: 50.0; time: 958

RUN: run status: enemy: 5; fitness: 56.194277446583015; player life: 0; enemy life: 30.0; time: 903

RUN: run status: enemy: 5; fitness: 84.56540834002708; player life: 13.00000000000023; enemy life: 0; time: 841

RUN: run status: enemy: 5; fitness: 47.13515222202914; player life: 0; enemy life: 40.0; time: 958

RUN: run status: enemy: 5; fitness: 83.5810759347245; player life: 4.0000000000002345; enemy life: 0; time: 915

RUN: run status: enemy: 5; fitness: 38.41107352246648; player life: 0; enemy life: 50.0; time: 727

RUN: run status: enemy: 5; fitness: 47.18765490582252; player life: 0; enemy life: 40.0; time: 909

RUN: run status: enemy: 5; fitness: 65.36012416617346; player life: 0; enemy life: 20.0; time: 765

RUN: run status: enemy: 5; fitness: 56.552244721017885; player life: 4.600000000000234; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.14248593745461; player life: 0; enemy life: 20.0; time: 951

RUN: run status: enemy: 5; fitness: 47.22007809252775; player life: 0; enemy life: 40.0; time: 880

RUN: run status: enemy: 5; fitness: 20.34972095141258; player life: 0; enemy life: 70.0; time: 773

RUN: run status: enemy: 5; fitness: 65.20990276448609; player life: 0; enemy life: 20.0; time: 889

RUN: run status: enemy: 5; fitness: 74.3054379414789; player life: 0; enemy life: 10.0; time: 808

RUN: run status: enemy: 5; fitness: 38.22577611364238; player life: 0; enemy life: 50.0; time: 875

RUN: run status: enemy: 5; fitness: 56.260663372642824; player life: 0; enemy life: 30.0; time: 845

RUN: run status: enemy: 5; fitness: 65.18875562139871; player life: 0; enemy life: 20.0; time: 908

RUN: run status: enemy: 5; fitness: 84.08796705453895; player life: 7.600000000000232; enemy life: 0; time: 790

RUN: run status: enemy: 5; fitness: 65.43224472101788; player life: 3.4000000000002344; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 38.28098684561474; player life: 0; enemy life: 50.0; time: 828

RUN: run status: enemy: 5; fitness: 75.21224472101788; player life: 11.20000000000023; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.190960693957024; player life: 0; enemy life: 40.0; time: 906

RUN: run status: enemy: 5; fitness: 74.21554293736236; player life: 0; enemy life: 10.0; time: 884

RUN: run status: enemy: 5; fitness: 66.33224472101789; player life: 12.40000000000023; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.19224472101789; player life: 1.000000000000234; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.24656208140222; player life: 0; enemy life: 30.0; time: 857

RUN: run status: enemy: 5; fitness: 83.86735835882793; player life: 7.600000000000232; enemy life: 0; time: 985

RUN: run status: enemy: 5; fitness: 56.23265687473461; player life: 0; enemy life: 30.0; time: 869

RUN: run status: enemy: 5; fitness: 38.257119364208094; player life: 0; enemy life: 50.0; time: 848

RUN: run status: enemy: 5; fitness: 74.85224472101788; player life: 7.600000000000232; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.15625005099378; player life: 0; enemy life: 10.0; time: 938

RUN: run status: enemy: 5; fitness: 65.27137138691529; player life: 0; enemy life: 20.0; time: 836

RUN: run status: enemy: 5; fitness: 86.17124045250836; player life: 29.20000000000026; enemy life: 0; time: 853

RUN: run status: enemy: 5; fitness: 74.1498738338545; player life: 0; enemy life: 10.0; time: 944

RUN: run status: enemy: 5; fitness: 29.147757430948122; player life: 0; enemy life: 60.0; time: 946

RUN: run status: enemy: 5; fitness: 83.47593477220013; player life: 1.000000000000234; enemy life: 0; time: 753

RUN: run status: enemy: 5; fitness: 20.23496102321946; player life: 0; enemy life: 70.0; time: 867

RUN: run status: enemy: 5; fitness: 65.61224472101789; player life: 5.200000000000234; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 86.09497034215656; player life: 26.20000000000025; enemy life: 0; time: 682

RUN: run status: enemy: 5; fitness: 56.19871696552838; player life: 0; enemy life: 30.0; time: 899

RUN: run status: enemy: 5; fitness: 56.33431628221759; player life: 0; enemy life: 30.0; time: 785

RUN: run status: enemy: 5; fitness: 65.19871696552838; player life: 0; enemy life: 20.0; time: 899

RUN: run status: enemy: 5; fitness: 86.14582947009056; player life: 28.600000000000257; enemy life: 0; time: 824

RUN: run status: enemy: 5; fitness: 29.2713713869153; player life: 0; enemy life: 60.0; time: 836

RUN: run status: enemy: 5; fitness: 56.29313766339725; player life: 0; enemy life: 30.0; time: 818

RUN: run status: enemy: 5; fitness: 29.24656208140222; player life: 0; enemy life: 60.0; time: 857

RUN: run status: enemy: 5; fitness: 38.4489196649566; player life: 0; enemy life: 50.0; time: 700

RUN: run status: enemy: 5; fitness: 47.14459120139007; player life: 0; enemy life: 40.0; time: 949

RUN: run status: enemy: 5; fitness: 47.247729623858255; player life: 0; enemy life: 40.0; time: 856

RUN: run status: enemy: 5; fitness: 84.99065075683264; player life: 16.000000000000227; enemy life: 0; time: 742

