

gen best mean std
0 75.498742 9.733998 25.49157
1 87.383414 29.005573 30.604668
2 87.383414 49.354933 23.164079
3 87.383414 57.657237 15.748473
4 87.383414 61.643164 12.415989
5 87.383414 62.453464 10.740094
6 87.383414 62.443749 10.932153
7 87.383414 60.620263 15.641999
8 87.383414 60.65287 15.36145
9 90.872892 61.281817 13.760926
10 91.716796 63.240406 12.037155
11 91.716796 62.566184 13.982607
12 91.716796 64.234396 12.596757
13 91.716796 64.456115 10.628316
14 91.716796 64.127554 9.148371
15 91.716796 64.101564 12.677483
16 91.716796 64.121333 11.012688
17 91.716796 64.04454 13.563213
18 91.716796 64.817154 10.269055
19 91.716796 63.900644 10.88124
20 91.716796 64.274789 10.492381
21 91.716796 65.801296 9.605961
22 91.716796 66.11312 9.621271
23 91.716796 66.01712 8.955742
24 91.716796 66.104072 10.483438
doomsday
25 91.716796 56.755668 27.812399
26 91.716796 65.254694 12.706612
27 91.716796 64.999308 12.124115
28 91.716796 66.614274 8.362271
29 91.716796 65.85835 8.916055
